TRANSPORT,START,END,A,B,SPEED
CARGO_1,1859-11-24 08:00:00,1859-11-25 04:08:19,Steamdrift,Cogburg,63.01
CARGO_1,1859-11-25 04:08:19,1859-11-25 17:36:11,Cogburg,Irondale,76.8
CARGO_1,1859-11-25 17:36:11,1859-11-26 00:49:19,Irondale,Gizbourne,72.86
CARGO_2,1859-11-26 00:49:19,1859-11-26 06:23:07,Gizbourne,Irondale,94.55
CARGO_2,1859-11-26 06:23:07,1859-11-26 17:05:54,Irondale,Cogburg,96.52
CARGO_3,1859-11-26 17:05:54,1859-11-27 07:12:30,Cogburg,Copperhold,74.2
CARGO_4,1859-11-27 07:12:30,1859-11-27 11:29:07,Copperhold,Irondale,80.67
CARGO_5,1859-11-27 11:29:07,1859-11-27 23:32:11,Irondale,Cogburg,85.8
CARGO_5,1859-11-27 23:32:11,1859-11-28 15:16:12,Cogburg,Steamdrift,80.65
CARGO_6,1859-11-28 15:16:12,1859-11-29 11:22:39,Steamdrift,Cogburg,63.11
CARGO_6,1859-11-29 11:22:39,1859-11-30 00:41:03,Cogburg,Irondale,77.71
CARGO_6,1859-11-30 00:41:03,1859-11-30 10:10:42,Irondale,Leverstorm,66.25
CARGO_7,1859-11-30 10:10:42,1859-11-30 18:22:30,Leverstorm,Copperhold,69.42
CARGO_7,1859-11-30 18:22:30,1859-12-01 09:11:52,Copperhold,Cogburg,70.63
CARGO_7,1859-12-01 09:11:52,1859-12-02 04:00:45,Cogburg,Steamdrift,67.45
CARGO_8,1859-12-02 04:00:45,1859-12-02 20:06:55,Steamdrift,Cogburg,78.81
CARGO_8,1859-12-02 20:06:55,1859-12-03 08:18:37,Cogburg,Irondale,84.79
CARGO_9,1859-12-03 08:18:37,1859-12-03 21:00:41,Irondale,Cogburg,81.41
CARGO_10,1859-12-03 21:00:41,1859-12-04 12:28:30,Cogburg,Rustport,91.89
CARGO_11,1859-12-04 12:28:30,1859-12-05 06:57:21,Rustport,Cogburg,76.89
CARGO_12,1859-12-05 06:57:21,1859-12-05 22:11:43,Cogburg,Copperhold,68.7
CARGO_13,1859-12-05 22:11:43,1859-12-06 02:37:24,Copperhold,Irondale,77.91
CARGO_13,1859-12-06 02:37:24,1859-12-06 09:00:51,Irondale,Gizbourne,82.31
CARGO_14,1859-12-06 09:00:51,1859-12-07 03:13:42,Gizbourne,Rustport,66.98
CARGO_15,1859-12-07 03:13:42,1859-12-08 03:14:53,Rustport,Steamdrift,81.06
CARGO_16,1859-12-08 03:14:53,1859-12-08 19:18:22,Steamdrift,Cogburg,79.03
CARGO_16,1859-12-08 19:18:22,1859-12-09 07:28:13,Cogburg,Irondale,85.0
CARGO_16,1859-12-09 07:28:13,1859-12-09 13:54:26,Irondale,Gizbourne,81.71
CARGO_17,1859-12-09 13:54:26,1859-12-09 21:09:46,Gizbourne,Irondale,72.5
